Class	Subclass	Order	Suborder	Infraorder/Superfamily	Family	Species_list	Cnidocyte	Type	Reference	synonymous_names_ref	synonymous_names_origtree	notes
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Nemalecium_lighti	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Nemalecium_lighti	pseudostenotele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_beanii	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_beanii	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_beanii	mastigophore		Bouillon, 1985; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_beanii	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_beanii	pseudostenotele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_pusillum	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_pusillum	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_pusillum	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_pusillum	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_pusillum	pseudostenotele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_halecinum	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_halecinum	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_halecinum	mastigophore		Weill, 1934 in Ito & Inoue,1962; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_halecinum	eurytele		Weill, 1934 in Ito & Inoue,1962; Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_halecinum	pseudostenotele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_incertus	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_incertus	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_incertus	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_incertus	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_incertus	pseudostenotele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_labrosum	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_labrosum	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_labrosum	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_labrosum	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_labrosum	pseudostenotele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_lenticulare	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_lenticulare	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_lenticulare	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_lenticulare	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_lenticulare	pseudostenotele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_muricatum	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_muricatum	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_muricatum	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_muricatum	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_muricatum	pseudostenotele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_mediterraneum	isorhiza	atrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_mediterraneum	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_mediterraneum	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_mediterraneum	eurytele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	-	Haleciidae	Halecium_mediterraneum	pseudostenotele		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	Plumularioidea	Aglaopheniidae	Aglaophenia_elongata	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	Plumularioidea	Aglaopheniidae	Aglaophenia_elongata	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	Plumularioidea	Aglaopheniidae	Aglaophenia_harpago	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	Plumularioidea	Aglaopheniidae	Aglaophenia_harpago	mastigophore		Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	Plumularioidea	Aglaopheniidae	Aglaophenia_octodonta	isorhiza	basitrichous	Bouillon et al, 2004			
Hydrozoa	Hydroidolina	Leptothecata	-	Plumularioidea	Aglaopheniidae	Aglaophenia_octodonta	mastigophore		Bouillon et al, 2004			
